ITEM_FLAVOUR_TRINKET:ALEXANDERS_FATE,"Some will say it's a pragmatic choice, others might call it cowardly.","Certains diront qu’il s’agit d’un choix pragmatique, les autres prendront cela pour de la lâcheté.","Manche würden das als pragmatische Lösung bezeichnen, andere als Feigheit.","Alcuni dicono sia una scelta pragmatica, altri la chiameranno codardia.","Algunos dirán que es una elección pragmática, otros podrían considerarla cobarde.","Algunos dirán que es una decisión pragmática, otros la llamarán cobardía.","Alguns dirão que essa é uma escolha pragmática, outros podem chamá-la de covarde.","Niektórzy powiedzą, że to pragmatyczny wybór, inni nazwą to tchórzostwem.","Одни назовут это прагматичностью, другие — трусостью.",某些人會認為這是一種務實的選擇，但其他人可能會稱之為懦弱。,有人认为这叫务实，也有人认为这叫懦弱。,누군가는 실용적인 선택이라고 하고 누군가는 비겁한 행동이라고 하죠.,ある者はそれを賢明な選択だと捉え、またある者はそれを臆病だと見なすかもしれない。,"Хтось вважає це прагматизмом, хтось боягузтвом.","Bazıları bunun pragmatik bir tercih, diğerleri ise korkaklık olduğunu düşünebilir."
ITEM_FLAVOUR_TRINKET:ANALYZER,Knowing your enemy is the first step to winning any battle.,"Pour remporter une bataille, tu dois connaître ton ennemi.","Seinen Gegner zu kennen, ist der erste Schritt zu einem siegreichen Kampf.",Conoscere il tuo nemico è il primo passo per vincere la battaglia.,Conocer a tu enemigo es el primer paso para ganar cualquier batalla.,Conocer a tu enemigo es el primer paso para ganar cualquier batalla.,Conhecer seu inimigo é o primeiro passo para vencer qualquer batalha.,Poznanie swojego wroga to pierwszy krok do wygrania każdej bitwy.,Познать своего врага — это первый шаг к победе.,瞭解你的敵人是贏得任何戰鬥的第一步。,知己知彼，百战百胜。,전투에서 승리하려면 적을 파악하는 것이 첫째입니다.,いかなる戦いにおいても、敵を知ることが勝利への第一歩となる。,Розуміння ворога — перший крок до виграшу в битві.,Savaşı kazanmak için önce düşmanı tanımak gerekir.
ITEM_FLAVOUR_TRINKET:BERSERKER,"What I give with the right hand, I take back with all the others.","Ce que je donne avec ma main droite, je le reprends avec toutes les autres.","Was ich mit der rechten Hand darbiete, nehme ich mir mit allen anderen zurück.","Quello che do con la mano destra, lo recupero con tutte le altre mani.","Lo que doy con la mano derecha, lo recupero con todas los demás.","Lo que doy con la mano derecha, lo recupero con todas las demás.","O que eu dou com a mão direita, tomo de volta com todas as outras.","Co daję prawą ręką, odbieram pozostałymi.","То, что я даю правой рукой, я забираю всеми остальными.",我右手所給予的事物，會由我的其他手取回。,我亦赐予，我亦剥夺。,오른손으로 준 것은 나머지 모든 손으로 돌려받는 법.,右手で与えたものを、他の手ですべて取り返す。,"Що я дам правою рукою, те заберу іншими.",Sağ elimle verdiğimi diğer ellerimle geri alırım.
ITEM_FLAVOUR_TRINKET:BETTER_DODGE,"We wanted to explore the 'dodge' space. Unfortunately, no one remembers what is on the other side.","Nous voulions en savoir plus sur la dimension de l’Esquive. Malheureusement, personne n’a aucun souvenir de ce qui se trouve de l’autre côté.","Wir wollten den „Ausweich“-Raum erkunden. Leider kann sich niemand erinnern, was auf der anderen Seite ist.",Volevamo esplorare lo spazio della schivata. Purtroppo nessuno ricorda cosa ci sia dall'altro lato.,"Queríamos explorar el espacio de la ""esquiva"". Lamentablemente, nadie recuerda lo que hay al otro lado.","Queríamos explorar el plano dimensional de la “esquiva”, pero lamentablemente, nadie recuerda lo que hay al otro lado.","Nós queríamos explorar o espaço da “esquiva”. Infelizmente, ninguém se lembra do que tem do outro lado.","Chcieliśmy zbadać przestrzeń „uniknięcia”. Niestety, nikt nie pamięta, co jest po drugiej stronie.","Мы хотели глубже исследовать тему уклонений. Но, похоже, ушли слишком глубоко.",我們想探索「閃躲」的空間。不幸的是，沒有人記得另一邊是什麼。,我们想探索「闪避」的空间。不幸的是，没人记得另一边是什么。,"‘회피’ 공간을 탐험해 보고 싶었지만, 저편에 뭐가 있는지 아무도 기억하지 못합니다.",私たちは「回避」空間を探検したかったが、残念ながら誰もその向こう側に何があるのか覚えていない。,"Ми хотіли вивчити можливості ухилення. На жаль, ніхто не пам’ятає, що по той бік.",Sıyrılma evrenini keşfetmek istedik ama ne yazık kimse diğer tarafta ne gördüğünü hatırlayamıyor.
ITEM_FLAVOUR_TRINKET:BIG_ENERGY_DRAIN,I try not to dwell on the ethics of that functionality.,"Je sais qu’éthiquement c’est pas top, mais j’essaie de ne pas trop y penser.",Ich hinterfrage die ethische Korrektheit dieser Funktion nicht.,Preferisco non soffermarmi sull'etica di questa funzionalità.,Intento no detenerme en la ética de esa funcionalidad.,Intento no pensar en la ética de esa funcionalidad.,Eu tento não me debruçar sobre a ética dessa funcionalidade.,Staram się nie rozwodzić nad moralnością tej funkcji.,Об этической стороне использования данной функции лучше не задумываться.,我盡量不去想這個功能背後可能產生的倫理問題。,我会尽量不去纠结这个功能的伦理问题。,기능의 윤리적인 면은 깊이 생각하지 말자고.,この機能の倫理的な問題については深く考えない方がいい…,Я пропущу етичний бік цього питання.,Bu konuya ahlaki taraftan bakmamaya çalışıyorum.
ITEM_FLAVOUR_TRINKET:CARLO_HOOK,"Experiment #146: Releasing an E.M.P. as a Means of Protection to Shake Off Pursuers when I Take a Peek in the Vaults --Dr Halyn, 17 years old","Expérience #146 : Émission d'impulsions électromagnétiques dans le but de semer des poursuivants quand je me rends dans les Chambres fortes. — Dr Halyn, 17 ans","Experiment Nr. 146: Ich setze einen E.M.P. als Schutzmaßnahe frei, um Verfolger abzuschütteln, wenn ich einen Blick in die Schatzkammer werfe – Dr. Halyn, 17 Jahre alt","Esperimento n. 146: rilasciare un I.E.M. come protezione per allontanare gli inseguitori quando do un'occhiata nel Deposito. --Dott.ssa Halyn, 17 anni",Experimento n.° 146: Liberar un pulso electromagnético como medio de protección para alejar a los perseguidores cuando echo un vistazo a las Bóvedas. --Dra. Halyn,"Experimento n.º 146: Liberación de un PEM como medio de protección para ahuyentar a los perseguidores cuando me asomo a las Bóvedas --Dra. Halyn, 17 años","Experimento nº 146: Liberação de um P.E.M. como meio de proteção para afastar perseguidores quando dou uma espiada nos Cofres --Dra. Halyn, 17 anos","Eksperyment nr 146: Uwolnienie impulsu elektromagnetycznego jako środka ochrony przed pościgiem, gdy zerkam do Krypt. -- Dr Halyn, 17 lat","Эксперимент №146: использование ЭМИ как средства защиты от преследователей, которые не дают мне свободно исследовать Хранилища — доктор Халин, 17 лет",146 號實驗：釋放電磁脈衝作為保護手段，讓我在偷看保存庫時甩開追蹤者 -- Halyn 博士，17 歲,146 号试验：我在窥视「储藏库」的时候，就会释放电磁脉冲，这种保护手段可以帮助我摆脱追踪者——海琳博士，时年 17 岁,"실험 #146: 금고를 몰래 들여다볼 때 E.M.P.를 보호 수단으로 방출하면 추격자들을 떨쳐낼 수 있음 --헤일린 박사, 17세",実験146：地下保管庫を調べるときに追跡者を撒くための防御策としてE.M.P.を使用する--ハリン（17歳）,"Експеримент № 146. Використання ЕМП для відлякування переслідувачів під час рейду на Сховища. — Д-р Хейлін, 17 років.",146. Deney: Kasalara Çaktırmadan Bakarken Elektromanyetik Dalga Kullanarak Beni Takip Edenleri Atlatmak --Dr. Halyn (17 yaşında)
ITEM_FLAVOUR_TRINKET:COUNTER_ATTACK,"As they did unto us, so they shall receive.",Nous leur rendrons la monnaie de leur pièce.,"Was sie uns angetan haben, werden sie ebenfalls zu spüren bekommen.","Come loro hanno fatto a noi, noi faremo a loro.","Lo que nos hicieron, también lo recibirán.","Así como nos trataron, los trataremos a ellos.",Quem com ferro fere com ferro será ferido.,Należy odpłacić pięknym za nadobne.,"Что посеешь, то и пожнёшь.",他們怎麼對待我們，我們就怎麼回報他們。,将心比心，睚眦必报。,상대가 우리에게 한 대로 되돌려줘야 마땅합니다.,彼らが我々にしたことを、お返しする時が来た。,"Вони отримають те, що самі скоїли.",Bize yaptıklarının karşılığını alacaklar.
ITEM_FLAVOUR_TRINKET:DAREDEVIL,"They pledged to protect her while she ran away. They kept their word, but at what cost...","Ils ont juré de la protéger dans sa fuite. Ils ont tenu parole, mais à quel prix…","Sie schworen, ihn zu beschützen, während er weglief. Sie hielten Wort, doch zu welchem Preis …","Avevano giurato di proteggerla mentre fuggiva. Mantennero la promessa, ma a caro prezzo...","Se comprometieron a protegerla mientras huía. Cumplieron su palabra, pero ¿a qué precio...?","Juraron protegerla mientras huía. Cumplieron su palabra, pero ¿a qué precio?","Eles se comprometeram a protegê-la enquanto ela fugia. E assim o fizeram, mas a que preço...?","Przysięgali, że będą ją chronić, gdy będzie uciekać. Dotrzymali słowa, ale jakim kosztem...","Они поклялись защищать его, когда он убежал. Они сдержали слово. Но какой ценой…",他們發誓要在她逃跑時保護她。他們確實守住了承諾，但代價是什麼呢……,他们承诺掩护她逃跑，而且确实履行了诺言，但是代价太过沉重……,그들은 녀석이 도망치는 동안 보호하겠다고 약속했다. 약속은 지켰지만 그 대가는...,彼が逃げる間、みんなで必ず彼を守ると誓った。そして、その約束は果たされた。しかし、その代償は…,"Вони присягнулися захищати її, поки вона втікала. Вони виконали клятву, але якою ціною...",O kaçarken onu koruma sözü verdiler. Sözlerini tuttular ama bedelini de ödediler.
ITEM_FLAVOUR_TRINKET:DECOY,"Experiment #21: Using Energy Outbursts as Sensory Hallucinations to Distract Machines when I Want to Steal Cake from the Kitchens. --Halyn, 7 years old","Expérience #21 : Utilisation de décharges d’énergie provoquant des hallucinations sensorielles afin de détourner l’attention des machines et de voler du gâteau dans les cuisines. — Halyn, 7 ans","Experiment Nr. 21: Ich nutze Energieausbrüche als sensorische Halluzinationen, um Maschinen abzulenken, wenn ich Kuchen aus den Küchen stehlen will. – Halyn, 7 Jahre alt","Esperimento n. 21: usare scariche di energia come allucinazioni sensoriali per distrarre le macchine quando voglio rubare le torte dalle cucine. --Halyn, 7 anni","Experimento n.° 21: Usar explosiones de energía como alucinaciones sensoriales para distraer a las máquinas cuando quiero robar pastel de la cocina. --Halyn, 7 años","Experimento n.º 21: Uso de los excesos de energía como alucinaciones sensoriales para distraer a las máquinas cuando quiero robar pasteles de la cocina. --Halyn, 7 años","Experimento nº 21: Usando explosões de energia como alucinações sensoriais para distrair as máquinas quando eu quiser roubar bolo da cozinha. --Halyn, 7 anos","Eksperyment nr 21: Wykorzystanie wybuchów energii jako halucynacji sensorycznych do odwracania uwagi maszyn, gdy chcę ukraść ciasto z kuchni. -- Halyn, 7 lat","Эксперимент № 21: использование выбросов энергии с целью создания зрительных галлюцинаций у машин, которые мешают мне стащить торт с кухни. — Халин, 7 лет",21 號實驗：當我想從廚房偷蛋糕時，我會利用能量爆發當成感官幻覺分散機器的注意力。-- Halyn 博士，7 歲,21 号试验：我想在厨房偷吃蛋糕时，就会利用能量爆发营造感官幻觉，分散机器的注意力。——海琳，时年 7 岁,"실험 #21: 부엌에서 케이크를 훔치고 싶을 때 에너지 폭발로 감각 환각을 일으키면 로봇들을 교란할 수 있다. --헤일린, 7세",実験#21：エネルギーの爆発を幻覚として応用すれば、キッチンからケーキを盗むときに機械を欺くことができる。-- ハリン（7歳）,"Експеримент № 21. Використання сплесків енергії як сенсорних галюцинацій для відволікання машин, коли мені хочеться вкрасти тортик з кухні. — Д-р Хейлін, 7 років",21. Deney: Mutfaktan Pasta Çalmak İstediğimde Makinelerin Dikkatini Dağıtmak Amacıyla Görsel Halüsinasyonlar Oluşturan Enerji Patlamaları --Halyn (7 yaşında)
ITEM_FLAVOUR_TRINKET:DOUBLE_DAMAGES,"When every system comes together, they become greater that the sum of all their parts.","Quand tous les systèmes s’unissent, ils forment un tout plus grand que la somme de toutes leurs parties.","Wenn alle Systeme zusammengreifen, werden sie größer als die Summe ihrer Einzelteile.","Quando tutti i sistemi sono uniti, diventano più grandi della somma delle loro parti.","Cuando todos los sistemas se unen, se vuelven mayores que la suma de todas sus partes.","Cuando todos los sistemas trabajan juntos, se vuelven más grandes que la suma de todas sus partes.","Quando todos os sistemas se unem, eles ficam maiores do que a soma de todas as suas partes.","Gdy połączymy wszystkie systemy, staną się one czymś większym niż suma wszystkich ich części.","Единая отлаженная система всегда работает эффективнее, чем сумма её элементов.",當所有系統協同運作時，其效果會超過各部分效果的總和。,各项系统连结起来之后，就可以达成一加一大于二的效果。,"모든 시스템이 합쳐지면, 부분의 합보다 더 큰 힘을 발휘합니다.",すべてのシステムが結集すると、あらゆるシステムを合わせた力をも超えることができる。,"Працюючи всі разом, системи стають кращими, ніж поодинці.",Tüm sistemler bir araya geldiğinde kendi parçalarının toplamından daha güçlü olurlar.
ITEM_FLAVOUR_TRINKET:DRY_FOUNTAINS,"Fasting is an old Traveller's tradition. It's said to help you open your ports and expand your processes. As for me, I think it just favours computing hallucinations.","Le jeûne est une tradition séculaire des Voyageurs. À ce qu'on dit, il favorise l'ouverture des ports et permet d'étendre nos processus à l'infini. Si tu veux mon avis, ce qu'il génère le plus, c'est des hallucinations.","Das Fasten ist ein alter Brauch der Reisenden. Angeblich hilft es, Ports zu öffnen und Prozesse zu erweitern. Ich selbst denke, dass es bloß Halluzinationen fördert.","Il digiuno è una vecchia tradizione del Pellegrini. Si dice aiuti ad aprire le tue porte ed espandere i processi. Per quanto mi riguarda, penso che favorisca solo le allucinazioni di computazione.","El ayuno es una antigua tradición de los Viajeros. Se dice que ayuda a abrir los puertos y expandir los procesos. En mi opinión, simplemente favorece las alucinaciones informáticas.","El ayuno es una antigua tradición de los Viajantes. Se dice que ayuda a abrir los puertos y a ampliar los procesos. En mi caso, creo que solo favorece las alucinaciones informáticas.","Jejum é uma antiga tradição dos Viajantes. Dizem que ele ajuda a abrir suas portas e a expandir seus processos. Quanto a mim, acho que ele só favorece alucinações computacionais.","Post jest starą tradycją Podróżnych. Podobno pomaga otworzyć swoje porty i rozszerzyć procesy. Jeśli o mnie chodzi, myślę, że pomaga to jedynie wywoływać halucynacje obliczeniowe.","Голодание — давняя традиция Странников. Считается, что оно помогает раскрыть порты и расширить процессы. Как по мне, всё это лишь вычислительные галлюцинации.",禁食是旅者古老的傳統。據說能協助開啟連接埠，拓展運算程序。至於我，則認為它只是促進了計算錯覺而已。,禁食是一项很古老的「远行者」传统。据说有助于打开端口和扩展进程。要我说，这只是某种计算幻觉而已。,단식은 오랜 여행자들의 전통입니다. 포트를 열고 프로세스를 확장하는 데 도움이 된다고 전해집니다. 제가 보기엔 그냥 연산상의 환각을 위해서인 것 같지만.,断食は古くからのトラベラーたちの伝統だ。ポートを開き、プロセスを拡張する助けになると言われている。まあ、私に言わせれば、単に計算上の幻覚を引き起こすだけだと思うが。,"Піст — стара традиція Мандрівників. Кажуть, це для того, щоб відкрити порти та розширити процеси. Як на мене, це просто заради комп'ютерних галюцинацій.","Oruç, eski bir Seyyah geleneği. Bağlantı noktalarını açtığı ve işlevlerini genişlettiği söylenir. Bence yalnızca sanal sanrılar görmene sebep oluyor."
